model,horizon,steps,rmse,mae
TimesFM-2.5-200M (Zero-Shot),30m,6,13.94,12.24
Chronos-Bolt-Base-200M (Zero-Shot),30m,6,15.09,13.31
Chronos-Bolt-Tiny-9M (Zero-Shot),30m,6,15.77,13.95
GRU Forecaster (Dedicated GPU),30m,6,14.89,13.11
LSTM Forecaster (Dedicated GPU),30m,6,14.97,13.1
Persistence Baseline,30m,6,16.22,14.33
TimesFM-2.5-200M (Zero-Shot),60m,12,20.19,16.45
Chronos-Bolt-Base-200M (Zero-Shot),60m,12,20.25,17.73
Chronos-Bolt-Tiny-9M (Zero-Shot),60m,12,21.03,18.32
GRU Forecaster (Dedicated GPU),60m,12,20.15,17.55
LSTM Forecaster (Dedicated GPU),60m,12,20.19,17.53
Persistence Baseline,60m,12,21.77,19.05
TimesFM-2.5-200M (Zero-Shot),120m (2h),24,26.04,21.06
Chronos-Bolt-Base-200M (Zero-Shot),120m (2h),24,26.02,22.21
Chronos-Bolt-Tiny-9M (Zero-Shot),120m (2h),24,27.03,23.0
GRU Forecaster (Dedicated GPU),120m (2h),24,24.79,21.35
LSTM Forecaster (Dedicated GPU),120m (2h),24,24.85,21.38
Persistence Baseline,120m (2h),24,27.64,23.75
