model,cohort,task,n,pos,auroc_mean,auroc_std,prauc_mean,prauc_std,note,kind,objective,arch,seed,ablation
baseline_cgm_jepa,cgmacros,diabetes_risk,30,19,0.604728132387707,0.2504356034868699,0.7808451536643027,0.1904986247263016,folds=47,baseline,,,,
baseline_cgm_jepa,cgmacros,insulin_resistance,30,22,0.5969512195121952,0.2960995595084368,0.8051626016260164,0.1745556148062272,folds=41,baseline,,,,
baseline_cgm_jepa,cgmacros,hyperlipidemia,30,16,0.3184988179669031,0.2394574276672302,0.5605910165484633,0.2108717974256043,folds=47,baseline,,,,
baseline_cgm_jepa,cgmacros,obesity,30,16,0.3201814058956916,0.2517417128614075,0.5422619047619047,0.1503027724508087,folds=49,baseline,,,,
baseline_cgm_jepa,cgmacros,hypoglycemia,30,14,0.6278344671201815,0.2681227312323623,0.7200226757369615,0.2366612893468843,folds=49,baseline,,,,
baseline_cgm_jepa,shanghait2dm,diabetes_risk,60,39,0.8415912698412699,0.0991015257582716,0.9163710938752604,0.0693579852136061,folds=50,baseline,,,,
baseline_cgm_jepa,shanghait2dm,insulin_resistance,40,26,0.4539523809523809,0.2504183789430633,0.7070109977324261,0.1865497601198369,folds=50,baseline,,,,
baseline_cgm_jepa,shanghait2dm,hyperlipidemia,55,33,0.5495238095238095,0.1854885346124205,0.6965880677523536,0.148359029821076,folds=50,baseline,,,,
baseline_x_cgm_jepa,cgmacros,diabetes_risk,30,19,0.5148345153664303,0.2944713604472184,0.7416607565011819,0.1969663749336017,folds=47,baseline,,,,
baseline_x_cgm_jepa,cgmacros,insulin_resistance,30,22,0.2349593495934959,0.2084150477593903,0.6443157181571816,0.1711354501039985,folds=41,baseline,,,,
baseline_x_cgm_jepa,cgmacros,hyperlipidemia,30,16,0.3900118203309692,0.2611190705834211,0.6030555555555556,0.208746792245817,folds=47,baseline,,,,
baseline_x_cgm_jepa,cgmacros,obesity,30,16,0.3184240362811791,0.2184736945022282,0.5408730158730158,0.1340315594616463,folds=49,baseline,,,,
baseline_x_cgm_jepa,cgmacros,hypoglycemia,30,14,0.5071995464852607,0.3022293282974706,0.6482539682539682,0.2233382054612342,folds=49,baseline,,,,
baseline_x_cgm_jepa,shanghait2dm,diabetes_risk,60,39,0.8481316137566138,0.0904661968305119,0.9220045274170274,0.0561423199860664,folds=50,baseline,,,,
baseline_x_cgm_jepa,shanghait2dm,insulin_resistance,40,26,0.4371547619047619,0.2094080135241197,0.7040702947845804,0.1653807061035735,folds=50,baseline,,,,
baseline_x_cgm_jepa,shanghait2dm,hyperlipidemia,55,33,0.5945952380952381,0.1775617999648357,0.7106404730410684,0.163877227214124,folds=50,baseline,,,,
untrained_jepa,cgmacros,diabetes_risk,30,19,0.5369385342789599,0.2665422255040046,0.7390130023640664,0.1727623537286818,folds=47,control,,,,
untrained_jepa,cgmacros,insulin_resistance,30,22,0.4829268292682927,0.2814904738125044,0.7502777777777777,0.1723076543065068,folds=41,control,,,,
untrained_jepa,cgmacros,hyperlipidemia,30,16,0.506855791962175,0.237537999022721,0.6544976359338062,0.2208623405893418,folds=47,control,,,,
untrained_jepa,cgmacros,obesity,30,16,0.3850907029478458,0.273845577266081,0.5876417233560092,0.178975830642852,folds=49,control,,,,
untrained_jepa,cgmacros,hypoglycemia,30,14,0.7106575963718822,0.2534526928076044,0.7608049886621315,0.2262872825763491,folds=49,control,,,,
untrained_jepa,shanghait2dm,diabetes_risk,60,39,0.8263538359788359,0.0968767487883434,0.9120557304908494,0.0682007229818806,folds=50,control,,,,
untrained_jepa,shanghait2dm,insulin_resistance,40,26,0.4461071428571428,0.2320985064471793,0.7005041950113378,0.1781824913802786,folds=50,control,,,,
untrained_jepa,shanghait2dm,hyperlipidemia,55,33,0.5472619047619047,0.1779673424213159,0.6886110489818823,0.1577584640639682,folds=50,control,,,,
