objective,arch,seed,auroc_mean,prauc_mean
causal,cnn,43.0,0.5347086358591323,0.7158509600827271
causal,cnn,44.0,0.4826293172714956,0.6898430128289794
causal,cnn,45.0,0.5318100644408573,0.7187375478101353
causal,dual,43.0,0.5006635597541069,0.70340397190895
causal,dual,44.0,0.547307609637149,0.721427186592779
causal,dual,45.0,0.5411690925912688,0.7255355650234175
causal,plain,43.0,0.5522774801489241,0.7272964324880375
causal,plain,44.0,0.5278825376183456,0.7109479182323816
causal,plain,45.0,0.5402198728652505,0.7226444062767429
mcr,cnn,43.0,0.5312784077186055,0.7129638565849482
mcr,cnn,44.0,0.5624796410435403,0.7358447993473693
mcr,cnn,45.0,0.5448928366663941,0.7241623541863288
mcr,dual,43.0,0.5155847829455689,0.7070375883226204
mcr,dual,44.0,0.5460768726183763,0.7232462575014099
mcr,dual,45.0,0.4987145813066922,0.6945537654599088
mcr,plain,43.0,0.5397944807063545,0.7305204231624375
mcr,plain,44.0,0.5491007162937682,0.7277552274985956
mcr,plain,45.0,0.5181774075184621,0.7103614862547615
recon,cnn,43.0,0.5514689238061754,0.7309338724625061
recon,cnn,44.0,0.5297717296565039,0.7193710694339377
recon,cnn,45.0,0.5174691732578691,0.7097358503240673
recon,dual,43.0,0.519672872179404,0.7060070442311394
recon,dual,44.0,0.547306126112356,0.7207645037222682
recon,dual,45.0,0.5244735477421103,0.7027856286715779
recon,plain,43.0,0.5412864037314747,0.7240395630202688
recon,plain,44.0,0.527208827783838,0.7157488462304135
recon,plain,45.0,0.5120464452271711,0.7063635967970544
