objective,arch,cohort,task,auroc_mean,auroc_std,prauc_mean,prauc_std,n_seeds
causal,cnn,cgmacros,diabetes_risk,0.5514972419227738,0.2508454682657917,0.7627068557919622,0.1691240011562347,3
causal,cnn,cgmacros,hyperlipidemia,0.35078802206461773,0.2406772286390919,0.578853427895981,0.19905377712442354,3
causal,cnn,cgmacros,hypoglycemia,0.6496409674981104,0.251202265597515,0.7178760393046106,0.22131257751362843,3
causal,cnn,cgmacros,insulin_resistance,0.3539747064137308,0.24750260889105732,0.7074254742547424,0.18004835477872838,3
causal,cnn,cgmacros,obesity,0.29928193499622074,0.21121642081458913,0.5275944822373394,0.16922717221216252,3
causal,cnn,shanghait2dm,diabetes_risk,0.831229036395703,0.10182906116734876,0.9101677357474977,0.07251271731506884,3
causal,cnn,shanghait2dm,hyperlipidemia,0.5954867724867724,0.18312355015852377,0.7210861171236171,0.14319981844048477,3
causal,cnn,shanghait2dm,insulin_resistance,0.4991626984126984,0.2562971604409439,0.739440589569161,0.17950178228245459,3
causal,dual,cgmacros,diabetes_risk,0.6299054373522459,0.24100220105568684,0.8188632781717889,0.1397570016355184,3
causal,dual,cgmacros,hyperlipidemia,0.3227935382190701,0.24159693995840506,0.5518912529550827,0.1931255896997357,3
causal,dual,cgmacros,hypoglycemia,0.6927248677248677,0.27267798990908704,0.7639436885865458,0.22823564559689036,3
causal,dual,cgmacros,insulin_resistance,0.46339205058717253,0.22896184998352398,0.758403342366757,0.16242747257152013,3
causal,dual,cgmacros,obesity,0.28480725623582764,0.2101234119806595,0.532634164777022,0.16171698374144733,3
causal,dual,shanghait2dm,diabetes_risk,0.8186953262786595,0.11294768997341063,0.8918954431884988,0.09619910998671966,3
causal,dual,shanghait2dm,hyperlipidemia,0.5216666666666666,0.16365580212660277,0.6842418462783542,0.15970172168621186,3
causal,dual,shanghait2dm,insulin_resistance,0.5037222222222223,0.2501595767129811,0.732438246409675,0.17769047291057372,3
causal,plain,cgmacros,diabetes_risk,0.5473798266351458,0.2641615180285715,0.7646907013396375,0.15944386854642448,3
causal,plain,cgmacros,hyperlipidemia,0.298187549251379,0.20535905730487636,0.5464066193853427,0.18539895281416016,3
causal,plain,cgmacros,hypoglycemia,0.7157596371882087,0.2520528438531073,0.7729780801209373,0.22576318833637563,3
causal,plain,cgmacros,insulin_resistance,0.5175248419150859,0.26534473421770616,0.7773125564588979,0.18143448746965382,3
causal,plain,cgmacros,obesity,0.3407974300831444,0.23331697709778831,0.5547978080120938,0.1754115405115915,3
causal,plain,shanghait2dm,diabetes_risk,0.8297592592592592,0.10362331761953873,0.90236617879475,0.08197430602596056,3
causal,plain,shanghait2dm,hyperlipidemia,0.5914814814814815,0.17580669264942642,0.7181033731113097,0.14624561920164805,3
causal,plain,shanghait2dm,insulin_resistance,0.48012301587301587,0.2440253517151719,0.72571470143613,0.17861674202346847,3
mcr,cnn,cgmacros,diabetes_risk,0.4694641449960599,0.25226790392742393,0.7119720252167062,0.17178443866132595,3
mcr,cnn,cgmacros,hyperlipidemia,0.34373522458628836,0.2230311815225101,0.5860933806146572,0.209859374507508,3
mcr,cnn,cgmacros,hypoglycemia,0.6937830687830688,0.22170138163720418,0.7625151171579744,0.2093655287976747,3
mcr,cnn,cgmacros,insulin_resistance,0.6012420957542909,0.2640046796729401,0.8060998193315267,0.19039117945044337,3
mcr,cnn,cgmacros,obesity,0.3963151927437642,0.2361706812293852,0.5992913832199546,0.1692343751986031,3
mcr,cnn,shanghait2dm,diabetes_risk,0.8126721580888248,0.10445748471966106,0.8900238443581698,0.10043282108027944,3
mcr,cnn,shanghait2dm,hyperlipidemia,0.5727777777777777,0.17682722222587585,0.718757660409843,0.1438425788435024,3
mcr,cnn,shanghait2dm,insulin_resistance,0.47974603174603175,0.2595832926085247,0.7198361300075585,0.18833487773319366,3
mcr,dual,cgmacros,diabetes_risk,0.5337470449172578,0.2701477729332666,0.7562490149724193,0.17226571813141064,3
mcr,dual,cgmacros,hyperlipidemia,0.4228329393223009,0.23865268352853397,0.614848305752561,0.20300243835584553,3
mcr,dual,cgmacros,hypoglycemia,0.6447467876039304,0.2675939258879577,0.7205026455026454,0.22334349101332526,3
mcr,dual,cgmacros,insulin_resistance,0.4618337850045167,0.2497300421159244,0.7530465221318879,0.17494798705523237,3
mcr,dual,cgmacros,obesity,0.2814247921390778,0.2114964130033715,0.5319538926681784,0.16136778693280374,3
mcr,dual,shanghait2dm,diabetes_risk,0.7971282667949334,0.1224422951472282,0.8770169131794132,0.10427675981292427,3
mcr,dual,shanghait2dm,hyperlipidemia,0.5473492063492063,0.17782757460471102,0.7015810373195293,0.169924481154892,3
mcr,dual,shanghait2dm,insulin_resistance,0.47194047619047624,0.22616107060590018,0.7110352985638699,0.17928494530990938,3
mcr,plain,cgmacros,diabetes_risk,0.5125689519306541,0.26067730499706077,0.7365602836879434,0.17164509653316776,3
mcr,plain,cgmacros,hyperlipidemia,0.24891646966115047,0.19697306246926546,0.5347340425531915,0.18596635867107228,3
mcr,plain,cgmacros,hypoglycemia,0.73140589569161,0.22901889735617575,0.7887452758881329,0.21349131459783308,3
mcr,plain,cgmacros,insulin_resistance,0.5300813008130082,0.2651746958780015,0.7807317073170732,0.18285885848273434,3
mcr,plain,cgmacros,obesity,0.36921768707483,0.25127685111326986,0.5847014361300076,0.16595262285868564,3
mcr,plain,shanghait2dm,diabetes_risk,0.8273657407407407,0.10284285690153698,0.9041069971254494,0.08172281256946677,3
mcr,plain,shanghait2dm,hyperlipidemia,0.5982486772486771,0.18707247323789858,0.7345417380532461,0.14670129948392227,3
mcr,plain,shanghait2dm,insulin_resistance,0.4677222222222222,0.23564089795354395,0.7189108843537415,0.18025366043257682,3
recon,cnn,cgmacros,diabetes_risk,0.4988967691095351,0.28607357550125634,0.7329196217494091,0.1808480804622414,3
recon,cnn,cgmacros,hyperlipidemia,0.36997635933806144,0.2321702697549566,0.5807171000788022,0.21030871478263105,3
recon,cnn,cgmacros,hypoglycemia,0.7220143613000757,0.26822065130652,0.78859410430839,0.2225582498881764,3
recon,cnn,cgmacros,insulin_resistance,0.43893405600722674,0.2640153538414604,0.7280623306233062,0.1921329536199564,3
recon,cnn,cgmacros,obesity,0.3792517006802721,0.2763538669522661,0.6003174603174602,0.1683950603725921,3
recon,cnn,shanghait2dm,diabetes_risk,0.8360339105339105,0.10140302459202899,0.9144000400833733,0.07658146122525666,3
recon,cnn,shanghait2dm,hyperlipidemia,0.5628015873015874,0.17835417961254998,0.7034288855104331,0.15317005526855967,3
